                  epoch,         train/box_loss,         train/cls_loss,         train/dfl_loss,   metrics/precision(B),      metrics/recall(B),       metrics/mAP50(B),    metrics/mAP50-95(B),           val/box_loss,           val/cls_loss,           val/dfl_loss,                 lr/pg0,                 lr/pg1,                 lr/pg2
                     35,                 1.4726,                  1.263,                 1.2306,                0.45734,                 0.5075,                0.49536,                0.20513,                 2.2243,                 1.6923,                 1.8294,              0.0013864,              0.0013864,              0.0013864
                     36,                 1.4788,                 1.1984,                 1.2612,                0.52503,                 0.6325,                0.52983,                 0.2666,                 1.9637,                 1.6451,                 1.7022,              0.0013782,              0.0013782,              0.0013782
                     37,                 1.5341,                 1.2322,                 1.2947,                0.66158,                0.65875,                0.67208,                0.34638,                 1.6416,                 1.3569,                 1.4804,              0.0013699,              0.0013699,              0.0013699
                     38,                 1.5176,                 1.2188,                  1.314,                0.57392,                0.62125,                0.68687,                0.29571,                 1.7979,                 1.3861,                 1.6076,              0.0013617,              0.0013617,              0.0013617
                     39,                  1.383,                 1.1814,                 1.1912,                 0.4139,                0.62131,                0.46382,                 0.2156,                 1.8668,                 1.8257,                  1.656,              0.0013534,              0.0013534,              0.0013534
                     40,                 1.4601,                 1.1851,                 1.2369,                0.50999,                0.64375,                0.58774,                0.28393,                 1.8597,                 1.5382,                 1.6098,              0.0013452,              0.0013452,              0.0013452
                     41,                 1.3536,                 1.1151,                 1.2576,                0.52877,                  0.635,                0.55564,                 0.3024,                 1.8344,                 1.5878,                 1.5534,              0.0013369,              0.0013369,              0.0013369
                     42,                 1.4445,                 1.1267,                 1.1938,                0.85807,                0.37625,                 0.5518,                0.28482,                 1.8318,                 1.6484,                 1.5894,              0.0013287,              0.0013287,              0.0013287
                     43,                 1.3954,                  1.164,                 1.2038,                0.59973,                0.65987,                0.69906,                0.31436,                 1.8821,                 1.4262,                   1.63,              0.0013204,              0.0013204,              0.0013204
                     44,                 1.4134,                 1.1632,                  1.213,                0.45825,                0.80375,                 0.5706,                 0.2434,                 1.8323,                 1.5072,                 1.5923,              0.0013122,              0.0013122,              0.0013122
                     45,                 1.3993,                 1.2262,                 1.2765,                0.54213,                0.74375,                0.61014,                0.29426,                 1.7668,                 1.3121,                 1.5376,              0.0013039,              0.0013039,              0.0013039
                     46,                 1.3796,                 1.1267,                 1.1973,                0.55557,                0.76022,                0.65677,                0.33777,                 1.5414,                  1.207,                 1.3907,              0.0012957,              0.0012957,              0.0012957
                     47,                 1.4101,                 1.1522,                 1.2617,                0.52483,                0.68596,                0.59315,                0.29227,                 1.6516,                 1.4821,                 1.4567,              0.0012874,              0.0012874,              0.0012874
                     48,                 1.3749,                 1.2227,                 1.2643,                0.29852,                0.68125,                0.46104,                0.22572,                 1.8244,                 3.9167,                 1.5411,              0.0012792,              0.0012792,              0.0012792
                     49,                 1.3361,                  1.146,                 1.1948,                0.63321,                0.65888,                0.68322,                0.33832,                 1.7463,                 1.3428,                 1.4961,              0.0012709,              0.0012709,              0.0012709
                     50,                 1.3803,                 1.2199,                 1.2995,                0.59708,                0.72553,                0.67303,                0.31887,                 1.7697,                 1.3288,                 1.5205,              0.0012627,              0.0012627,              0.0012627
                     51,                 1.3301,                 1.1571,                 1.1743,                0.53428,                0.69875,                0.56838,                0.26992,                 1.7807,                 1.3981,                 1.5353,              0.0012544,              0.0012544,              0.0012544
                     52,                 1.3595,                 1.1005,                 1.1801,                0.46245,                0.58131,                0.51784,                0.25061,                 1.7735,                 1.7321,                 1.5623,              0.0012462,              0.0012462,              0.0012462
                     53,                 1.3542,                 1.0863,                 1.2264,                0.53578,                0.68658,                0.61146,                0.26529,                 1.9395,                 1.7478,                 1.6499,              0.0012379,              0.0012379,              0.0012379
                     54,                 1.3338,                 1.0006,                 1.1835,                0.52232,                0.77151,                0.68147,                0.30103,                 1.8544,                 1.4765,                 1.6061,              0.0012297,              0.0012297,              0.0012297
                     55,                 1.3356,                 1.0383,                 1.2109,                0.58407,                0.67422,                0.70152,                0.29546,                 1.9269,                 1.4195,                 1.6468,              0.0012214,              0.0012214,              0.0012214
                     56,                 1.3478,                 1.0433,                 1.2041,                0.59787,                0.66125,                0.69097,                0.31562,                 1.8697,                 1.3278,                 1.6204,              0.0012132,              0.0012132,              0.0012132
                     57,                 1.3987,                 1.0877,                 1.2053,                0.79006,                0.54103,                0.69852,                0.32854,                 1.7877,                 1.2349,                 1.5337,              0.0012049,              0.0012049,              0.0012049
                     58,                 1.3956,                 1.1041,                 1.2217,                0.52109,                0.75595,                0.69496,                0.32683,                 1.8141,                 1.3548,                 1.5151,              0.0011967,              0.0011967,              0.0011967
                     59,                 1.3771,                 1.0788,                  1.251,                0.49076,                  0.775,                0.65036,                0.32424,                 1.7197,                 1.3265,                 1.4721,              0.0011884,              0.0011884,              0.0011884
                     60,                 1.4965,                 1.1049,                 1.2071,                0.55922,                  0.795,                0.66175,                0.31466,                 1.7698,                 1.3325,                 1.5378,              0.0011802,              0.0011802,              0.0011802
                     61,                  1.347,                 1.0847,                  1.178,                0.55308,                   0.69,                0.67269,                0.26989,                 2.0727,                 1.3464,                 1.7264,              0.0011719,              0.0011719,              0.0011719
                     62,                 1.4193,                 1.0135,                 1.2577,                0.52989,                   0.73,                0.65773,                0.26635,                 2.0659,                 1.3642,                 1.7414,              0.0011636,              0.0011636,              0.0011636
                     63,                 1.3764,                 1.0366,                 1.2412,                0.52204,                 0.7925,                0.67747,                 0.3048,                 1.8634,                 1.3599,                 1.5912,              0.0011554,              0.0011554,              0.0011554
                     64,                 1.2988,                0.98631,                 1.1464,                0.74819,                0.76125,                0.78662,                0.32017,                 1.9017,                 1.1823,                 1.6052,              0.0011471,              0.0011471,              0.0011471
                     65,                 1.3557,                0.98857,                 1.1918,                0.62983,                 0.6275,                0.67128,                0.25759,                 2.1124,                 1.3041,                 1.7756,              0.0011389,              0.0011389,              0.0011389
                     66,                 1.3252,                 1.0195,                 1.2176,                0.58471,                 0.6275,                0.63683,                0.24225,                 2.1066,                 1.3309,                 1.7668,              0.0011306,              0.0011306,              0.0011306
                     67,                 1.3325,                0.99489,                 1.1909,                0.71817,                0.71041,                0.74016,                 0.3121,                 1.8862,                 1.1322,                 1.6278,              0.0011224,              0.0011224,              0.0011224
                     68,                 1.3378,                 1.0273,                 1.1865,                0.56774,                0.86342,                0.72436,                0.33261,                 1.6942,                 1.1559,                 1.4852,              0.0011141,              0.0011141,              0.0011141
                     69,                 1.3513,                 1.0011,                 1.1617,                0.70081,                0.72091,                0.74541,                0.31453,                 1.8196,                  1.153,                 1.5573,              0.0011059,              0.0011059,              0.0011059
                     70,                 1.3376,                0.94561,                 1.1735,                0.72716,                0.74901,                 0.7799,                0.35284,                 1.8025,                 1.1325,                 1.5487,              0.0010976,              0.0010976,              0.0010976
                     71,                 1.2764,                0.94663,                 1.1606,                0.69294,                0.74067,                0.78689,                0.34003,                  1.875,                 1.1328,                 1.5833,              0.0010894,              0.0010894,              0.0010894
                     72,                 1.2608,                0.91521,                 1.1252,                0.61072,                0.79541,                0.72955,                0.32846,                 1.8222,                  1.199,                 1.5466,              0.0010811,              0.0010811,              0.0010811
                     73,                 1.2566,                0.92165,                 1.1923,                0.61383,                0.68375,                0.70176,                0.32242,                 1.8422,                 1.2237,                 1.5876,              0.0010729,              0.0010729,              0.0010729
                     74,                 1.2972,                0.97352,                 1.1611,                0.65517,                0.60125,                0.69379,                0.33774,                 1.7837,                  1.251,                 1.5373,              0.0010646,              0.0010646,              0.0010646
                     75,                 1.2705,                 0.9431,                 1.1755,                0.58462,                0.64643,                0.64043,                0.29561,                 1.8159,                 1.3342,                 1.5605,              0.0010564,              0.0010564,              0.0010564
                     76,                 1.2849,                0.95813,                 1.1066,                0.55508,                0.39154,                0.36237,                0.17045,                 2.0747,                 1.8914,                 1.8621,              0.0010481,              0.0010481,              0.0010481
                     77,                 1.2009,                0.88232,                 1.1459,                0.52405,                0.35075,                0.36211,                0.17913,                 2.1074,                 2.0035,                   1.89,              0.0010399,              0.0010399,              0.0010399
                     78,                 1.2972,                0.95937,                 1.1637,                0.48871,                0.58125,                0.47151,                0.19812,                 2.1555,                 1.6952,                 1.9269,              0.0010316,              0.0010316,              0.0010316
                     79,                 1.2447,                0.94526,                 1.1517,                 0.7384,                   0.51,                0.50246,                0.19103,                 2.1062,                 1.9266,                 1.8866,              0.0010234,              0.0010234,              0.0010234
                     80,                 1.3473,                0.96118,                 1.2159,                0.69264,                0.70999,                0.72934,                0.37618,                 1.6988,                 1.1273,                 1.4801,              0.0010151,              0.0010151,              0.0010151
                     81,                 1.3143,                0.93213,                 1.1863,                0.58213,                0.82796,                 0.7648,                0.39547,                 1.6471,                 1.0702,                 1.4209,              0.0010069,              0.0010069,              0.0010069
                     82,                 1.2852,                0.86978,                 1.1546,                0.63381,                0.77877,                0.77213,                 0.3847,                 1.7253,                 1.0662,                 1.4673,             0.00099862,             0.00099862,             0.00099862
                     83,                 1.1548,                0.85306,                 1.0911,                0.65792,                0.71974,                0.72933,                0.37264,                 1.7432,                 1.1193,                 1.4844,             0.00099036,             0.00099036,             0.00099036
                     84,                 1.2099,                0.93418,                 1.1521,                0.63183,                   0.61,                0.59653,                 0.2586,                 2.0368,                 1.4982,                   1.63,             0.00098211,             0.00098211,             0.00098211
                     85,                 1.2954,                0.93565,                 1.1323,                0.64271,                   0.59,                0.59997,                0.26378,                 1.9193,                 1.5199,                 1.5892,             0.00097386,             0.00097386,             0.00097386
                     86,                 1.2844,                0.92778,                 1.1474,                0.64282,                0.59121,                0.64062,                0.33088,                 1.6539,                 1.3054,                 1.4758,             0.00096561,             0.00096561,             0.00096561
                     87,                 1.2124,                0.90169,                   1.12,                0.76629,                0.53464,                0.71656,                0.36763,                 1.6647,                 1.1261,                 1.4925,             0.00095736,             0.00095736,             0.00095736
                     88,                 1.2671,                0.89101,                 1.1366,                0.73767,                0.59721,                 0.7487,                 0.3846,                 1.6539,                 1.1245,                 1.5435,             0.00094911,             0.00094911,             0.00094911
                     89,                 1.2534,                0.85546,                 1.1485,                0.68919,                0.71453,                0.75976,                0.39968,                 1.5502,                 1.0972,                  1.496,             0.00094085,             0.00094085,             0.00094085
                     90,                 1.2319,                0.89604,                 1.1248,                0.65057,                  0.755,                 0.7618,                0.41543,                  1.485,                 1.0877,                 1.4495,              0.0009326,              0.0009326,              0.0009326
                     91,                 1.2913,                0.95075,                 1.1893,                0.62339,                0.74375,                0.75461,                0.38873,                  1.529,                 1.1042,                 1.4635,             0.00092435,             0.00092435,             0.00092435
