                  epoch,         train/box_loss,         train/cls_loss,         train/dfl_loss,   metrics/precision(B),      metrics/recall(B),       metrics/mAP50(B),    metrics/mAP50-95(B),           val/box_loss,           val/cls_loss,           val/dfl_loss,                 lr/pg0,                 lr/pg1,                 lr/pg2
                     35,                 1.1557,                0.82191,                 1.0954,                0.68469,                0.62175,                 0.6433,                0.33428,                  1.766,                 1.4336,                 1.5417,              0.0015548,              0.0015548,              0.0015548
                     36,                 1.1166,                 0.7421,                   1.08,                0.53387,                  0.775,                0.67734,                0.32604,                 1.7967,                 1.3314,                 1.5824,              0.0015515,              0.0015515,              0.0015515
                     37,                 1.1425,                0.79878,                 1.0946,                0.59377,                0.66125,                0.66619,                0.36013,                 1.7277,                 1.2544,                  1.513,              0.0015482,              0.0015482,              0.0015482
                     38,                 1.1455,                0.73623,                 1.0994,                0.53676,                0.83592,                0.67963,                0.37072,                 1.6286,                 1.2115,                  1.463,              0.0015449,              0.0015449,              0.0015449
                     39,                 1.0576,                0.76162,                 1.0318,                0.63161,                0.63569,                0.63074,                0.35658,                 1.5393,                 1.2539,                 1.4066,              0.0015416,              0.0015416,              0.0015416
                     40,                 1.1362,                0.85887,                 1.0758,                0.54861,                 0.6764,                 0.5745,                 0.2843,                 1.8101,                 1.5588,                 1.5947,              0.0015383,              0.0015383,              0.0015383
                     41,                 1.0041,                0.67209,                 1.0706,                0.63631,                0.57299,                0.62547,                0.30508,                 1.7873,                 1.4731,                 1.6168,               0.001535,               0.001535,               0.001535
                     42,                 1.0637,                0.71773,                 1.0256,                0.64766,                0.61055,                0.65588,                0.34727,                 1.6848,                 1.4319,                 1.5882,              0.0015317,              0.0015317,              0.0015317
                     43,                 1.0387,                0.72602,                 1.0511,                0.59052,                0.62856,                0.65162,                0.33021,                 1.6428,                 1.3714,                 1.5507,              0.0015284,              0.0015284,              0.0015284
                     44,                 1.0805,                0.75902,                 1.0568,                0.45493,                 0.7725,                0.65414,                0.29875,                 1.8183,                 1.3561,                 1.6417,              0.0015251,              0.0015251,              0.0015251
                     45,                  1.074,                0.78206,                  1.104,                0.46629,                0.80375,                0.68777,                0.35497,                 1.6901,                 1.2708,                 1.5314,              0.0015218,              0.0015218,              0.0015218
                     46,                 1.0641,                0.70903,                 1.0468,                0.51633,                0.86362,                0.71313,                0.37416,                 1.6087,                 1.1905,                 1.4927,              0.0015185,              0.0015185,              0.0015185
                     47,                 1.1147,                0.76165,                 1.1016,                0.62845,                0.78804,                0.75165,                0.39731,                  1.636,                 1.1229,                 1.5471,              0.0015152,              0.0015152,              0.0015152
                     48,                 1.0542,                0.78688,                 1.0861,                0.67718,                 0.7947,                0.79551,                0.38677,                 1.6935,                  1.104,                 1.6109,              0.0015119,              0.0015119,              0.0015119
                     49,                  1.015,                0.72486,                 1.0372,                0.66455,                  0.775,                0.80633,                0.40024,                 1.7134,                 1.1004,                 1.6394,              0.0015086,              0.0015086,              0.0015086
                     50,                 1.0581,                0.80917,                 1.1269,                0.73624,                0.80375,                0.80802,                0.38677,                 1.6777,                 1.0096,                 1.6232,              0.0015053,              0.0015053,              0.0015053
                     51,                 1.0446,                0.80101,                 1.0493,                0.63233,                0.77802,                0.75026,                0.35366,                 1.6054,                 1.1902,                  1.611,               0.001502,               0.001502,               0.001502
                     52,                 1.0146,                0.74629,                 1.0266,                0.67803,                0.72952,                0.71975,                0.33357,                 1.6036,                 1.2048,                 1.5973,              0.0014987,              0.0014987,              0.0014987
                     53,                  1.019,                0.77631,                 1.0624,                0.62679,                0.77337,                0.68461,                0.31248,                 1.7224,                 1.1469,                 1.6472,              0.0014954,              0.0014954,              0.0014954
                     54,                 1.0003,                  0.698,                 1.0225,                0.57575,                0.64293,                0.65274,                0.28572,                 1.8462,                 1.3374,                 1.7271,              0.0014921,              0.0014921,              0.0014921
                     55,                 0.9742,                0.68697,                 1.0256,                0.62936,                 0.5931,                 0.6703,                0.29137,                 1.8521,                 1.3009,                 1.7358,              0.0014888,              0.0014888,              0.0014888
                     56,                0.98027,                0.68298,                 1.0229,                0.65576,                0.65001,                0.66984,                0.30195,                 1.9632,                  1.417,                  1.932,              0.0014855,              0.0014855,              0.0014855
